"filename", "language", "JavaScript", "HTML", "Django txt", "JSON", "CSS", "XML", "comment", "blank", "total"
"e:\HTTP1\Resource\���,�c.txt", "Django txt", 0, 0, 3, 0, 0, 0, 0, 0, 3
"e:\HTTP1\package-lock.json", "JSON", 0, 0, 0, 2035, 0, 0, 0, 1, 2036
"e:\HTTP1\public\CSS\component.css", "CSS", 0, 0, 0, 0, 943, 0, 15, 140, 1098
"e:\HTTP1\public\CSS\demo.css", "CSS", 0, 0, 0, 0, 156, 0, 3, 28, 187
"e:\HTTP1\public\CSS\font-awesome.min.css", "CSS", 0, 0, 0, 0, 1, 0, 3, 0, 4
"e:\HTTP1\public\CSS\input.css", "CSS", 0, 0, 0, 0, 189, 0, 0, 9, 198
"e:\HTTP1\public\CSS\normalize.css", "CSS", 0, 0, 0, 0, 22, 0, 0, 0, 22
"e:\HTTP1\public\CSS\style.css", "CSS", 0, 0, 0, 0, 136, 0, 16, 21, 173
"e:\HTTP1\public\CSS\table_style.css", "CSS", 0, 0, 0, 0, 22, 0, 0, 2, 24
"e:\HTTP1\public\JS\classie.js", "JavaScript", 50, 0, 0, 0, 0, 0, 19, 12, 81
"e:\HTTP1\public\JS\jquery-3.6.0.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 0, 2
"e:\HTTP1\public\JS\login_register.js", "JavaScript", 53, 0, 0, 0, 0, 0, 1, 2, 56
"e:\HTTP1\public\JS\modify.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 3, 25
"e:\HTTP1\public\JS\pitch.js", "JavaScript", 27, 0, 0, 0, 0, 0, 2, 4, 33
"e:\HTTP1\public\data\UserMan.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 1
"e:\HTTP1\public\fonts\fontawesome-webfont.svg", "XML", 0, 0, 0, 0, 0, 520, 0, 0, 520
"e:\HTTP1\routes\activity.js", "JavaScript", 187, 0, 0, 0, 0, 0, 0, 9, 196
"e:\HTTP1\routes\admin.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 3, 16
"e:\HTTP1\routes\announ.js", "JavaScript", 74, 0, 0, 0, 0, 0, 0, 4, 78
"e:\HTTP1\routes\dataBase.js", "JavaScript", 121, 0, 0, 0, 0, 0, 4, 14, 139
"e:\HTTP1\routes\group.js", "JavaScript", 57, 0, 0, 0, 0, 0, 0, 2, 59
"e:\HTTP1\routes\home.js", "JavaScript", 66, 0, 0, 0, 0, 0, 0, 6, 72
"e:\HTTP1\routes\login.js", "JavaScript", 52, 0, 0, 0, 0, 0, 0, 5, 57
"e:\HTTP1\routes\modifyPassword.js", "JavaScript", 16, 0, 0, 0, 0, 0, 63, 5, 84
"e:\HTTP1\routes\register.js", "JavaScript", 48, 0, 0, 0, 0, 0, 0, 7, 55
"e:\HTTP1\server.js", "JavaScript", 144, 0, 0, 0, 0, 0, 3, 42, 189
"e:\HTTP1\views\pages\404NotFound.ejs", "HTML", 0, 14, 0, 0, 0, 0, 0, 0, 14
"e:\HTTP1\views\pages\505err.ejs", "HTML", 0, 14, 0, 0, 0, 0, 0, 0, 14
"e:\HTTP1\views\pages\AccessDenied.ejs", "HTML", 0, 14, 0, 0, 0, 0, 0, 0, 14
"e:\HTTP1\views\pages\Admin.ejs", "HTML", 0, 14, 0, 0, 0, 0, 0, 0, 14
"e:\HTTP1\views\pages\activity.ejs", "HTML", 0, 56, 0, 0, 0, 0, 0, 2, 58
"e:\HTTP1\views\pages\announce.ejs", "HTML", 0, 82, 0, 0, 0, 0, 0, 3, 85
"e:\HTTP1\views\pages\buzy.ejs", "HTML", 0, 14, 0, 0, 0, 0, 0, 0, 14
"e:\HTTP1\views\pages\group.ejs", "HTML", 0, 37, 0, 0, 0, 0, 0, 1, 38
"e:\HTTP1\views\pages\index.ejs", "HTML", 0, 64, 0, 0, 0, 0, 0, 1, 65
"e:\HTTP1\views\pages\loginfailed.ejs", "HTML", 0, 14, 0, 0, 0, 0, 0, 0, 14
"e:\HTTP1\views\pages\loginsuccess.ejs", "HTML", 0, 14, 0, 0, 0, 0, 0, 0, 14
"e:\HTTP1\views\pages\logintest.ejs", "HTML", 0, 51, 0, 0, 0, 0, 0, 10, 61
"e:\HTTP1\views\pages\modifyfailed.ejs", "HTML", 0, 14, 0, 0, 0, 0, 0, 0, 14
"e:\HTTP1\views\pages\modifysuccess.ejs", "HTML", 0, 14, 0, 0, 0, 0, 0, 0, 14
"e:\HTTP1\views\pages\particals\footer.ejs", "HTML", 0, 3, 0, 0, 0, 0, 0, 1, 4
"e:\HTTP1\views\pages\particals\head.ejs", "HTML", 0, 10, 0, 0, 0, 0, 0, 0, 10
"e:\HTTP1\views\pages\particals\header.ejs", "HTML", 0, 17, 0, 0, 0, 0, 0, 2, 19
"e:\HTTP1\views\pages\pwd_modify.ejs", "HTML", 0, 45, 0, 0, 0, 0, 0, 9, 54
"e:\HTTP1\views\pages\register.ejs", "HTML", 0, 31, 0, 0, 0, 0, 0, 10, 41
"e:\HTTP1\views\pages\registerfailed.ejs", "HTML", 0, 14, 0, 0, 0, 0, 0, 0, 14
"e:\HTTP1\views\pages\registersuccess.ejs", "HTML", 0, 14, 0, 0, 0, 0, 0, 0, 14
"e:\HTTP1\views\pages\support.ejs", "HTML", 0, 14, 0, 0, 0, 0, 0, 1, 15
"e:\HTTP1\views\pages\test.ejs", "HTML", 0, 58, 0, 0, 0, 0, 0, 6, 64
"Total", "-", 931, 622, 3, 2036, 1469, 520, 130, 365, 6076